CMDLINE C:\Users\Galicia\AppData\Local\Programs\Python\Python310\python.exe profiling_memory.py
MEM 1.996094 1746392450.5052
MEM 18.320312 1746392450.6160
MEM 27.804688 1746392450.7274
MEM 35.152344 1746392450.8359
MEM 41.199219 1746392450.9502
MEM 47.265625 1746392451.0617
MEM 52.429688 1746392451.1702
MEM 60.429688 1746392451.2801
MEM 68.128906 1746392451.3900
MEM 74.316406 1746392451.5003
MEM 74.789062 1746392451.6126
MEM 75.496094 1746392451.7187
MEM 76.878906 1746392451.8330
MEM 77.367188 1746392451.9426
MEM 77.476562 1746392452.0545
MEM 77.500000 1746392452.1689
MEM 77.500000 1746392452.2812
MEM 82.351562 1746392452.3952
MEM 82.882812 1746392452.5085
MEM 83.195312 1746392452.6233
MEM 83.441406 1746392452.7366
MEM 83.558594 1746392452.8485
MEM 83.871094 1746392452.9617
MEM 84.222656 1746392453.0706
MEM 84.800781 1746392453.1811
MEM 84.800781 1746392453.2940
MEM 84.238281 1746392453.4082
MEM 83.964844 1746392453.5201
MEM 84.050781 1746392453.6335
MEM 84.050781 1746392453.7439
MEM 84.183594 1746392453.8543
MEM 84.554688 1746392453.9634
MEM 84.945312 1746392454.0724
MEM 85.035156 1746392454.1858
MEM 85.097656 1746392454.2947
MEM 85.234375 1746392454.4081
MEM 85.367188 1746392454.5230
MEM 85.511719 1746392454.6363
MEM 85.656250 1746392454.7512
MEM 85.789062 1746392454.8645
MEM 85.937500 1746392454.9779
MEM 86.101562 1746392455.0913
MEM 86.242188 1746392455.2060
MEM 86.429688 1746392455.3208
MEM 86.574219 1746392455.4355
MEM 86.714844 1746392455.5503
MEM 86.863281 1746392455.6652
MEM 87.000000 1746392455.7799
MEM 87.144531 1746392455.8947
MEM 87.292969 1746392456.0094
MEM 87.429688 1746392456.1242
MEM 87.562500 1746392456.2391
MEM 87.675781 1746392456.3510
MEM 87.792969 1746392456.4629
MEM 87.914062 1746392456.5763
MEM 88.039062 1746392456.6897
MEM 88.152344 1746392456.7971
MEM 88.296875 1746392456.9105
MEM 88.289062 1746392457.0208
MEM 88.320312 1746392457.1355
MEM 88.320312 1746392457.2487
MEM 88.320312 1746392457.3634
MEM 88.320312 1746392457.4782
MEM 88.328125 1746392457.5873
MEM 88.339844 1746392457.7007
